signal,target,mrate5,mrate10,mrate_avg,mrate_diff,red_v_rate3,red_v_rate5,red_v_rate10,rate_diff_5_10,rate_diff_3_10,rate_sum_5_10,rate_sum_3_10,ma10_20,ma5_10,ma5_20,ma_desc,ma_score
1.0,3,0.6,0.6,0.6,0.0,100.0,57.0965,67.4429,-10.3464,32.5571,34.0,19.4128,1.1781,-1.9816,-0.8268,-0.4056,2.0
1.0,1,0.8,0.6,0.7,0.2,100.0,78.9637,61.8969,17.0668,38.1031,41.2078,18.5398,1.0415,-2.2201,-1.2018,-0.5932,3.5
1.0,1,0.6,0.6,0.6,0.0,61.6224,55.861,58.1934,-2.3324,3.429,52.5675,34.9877,-1.6893,-1.0201,-2.6922,-1.3519,0.0
1.0,2,0.6,0.5,0.55,0.1,62.7621,60.7927,49.3213,11.4714,13.4408,42.184,24.819,-3.4999,-0.7426,-4.2165,-2.1169,0.0
1.0,2,1.0,0.7,0.85,0.3,100.0,100.0,69.5247,30.4753,30.4753,41.1556,22.3167,-2.5044,-1.4046,-3.8738,-1.9486,1.5
1.0,2,0.6,0.6,0.6,0.0,24.5055,49.5649,55.5291,-5.9642,-31.0236,46.8802,31.3189,-2.355,-1.2037,-3.5303,-1.7746,0.0
1.0,3,0.4,0.6,0.5,-0.2,24.3293,32.7846,53.5887,-20.8042,-29.2594,50.8821,35.4674,-2.5902,-0.747,-3.3178,-1.6654,0.0
1.0,1,0.4,0.4,0.4,0.0,73.5357,38.8379,47.234,-8.3961,26.3017,39.6736,20.9536,-1.1923,-2.3807,-3.5446,-1.7818,0.5
1.0,2,0.4,0.2,0.3,0.2,0.0,40.286,18.8975,21.3885,-18.8975,46.9084,28.0109,-1.9089,-0.5367,-2.4354,-1.2211,1.0
1.0,3,0.2,0.3,0.25,-0.1,36.8271,22.8251,31.6724,-8.8473,5.1547,49.1414,30.4574,-2.4626,-0.7879,-3.2311,-1.622,0.0
1.0,1,0.2,0.2,0.2,0.0,36.3017,21.2368,18.7416,2.4953,17.5601,42.9604,25.1323,-0.7751,-3.9281,-4.6727,-2.3465,0.0
1.0,3,0.4,0.2,0.3,0.2,0.0,31.5306,17.1388,14.3918,-17.1388,54.3561,37.2173,-4.6355,-3.3615,-7.8411,-3.9725,0.0
1.0,3,0.2,0.3,0.25,-0.1,0.0,20.6402,25.6674,-5.0271,-25.6674,53.8386,34.7219,-6.5436,-2.1983,-8.598,-4.347,1.5
1.0,2,0.6,0.6,0.6,0.0,39.1408,59.7022,59.1056,0.5967,-19.9648,51.9196,34.3785,-2.2263,-1.8968,-4.0809,-2.0545,0.0
1.0,2,0.6,0.6,0.6,0.0,77.1982,72.6151,63.2286,9.3865,13.9696,48.0381,25.5116,-3.9506,-3.0341,-6.8649,-3.4724,1.5
1.0,2,0.8,0.5,0.65,0.3,68.9468,87.4156,51.8788,35.5369,17.068,38.9238,15.7739,-4.5555,-0.1105,-4.661,-2.3322,1.0
1.0,3,0.2,0.3,0.25,-0.1,40.1775,31.8934,33.6462,-1.7529,6.5312,64.796,51.4359,-4.4818,-7.7746,-11.908,-6.0701,0.0
1.0,1,0.2,0.4,0.3,-0.2,37.7404,20.275,39.4504,-19.1753,-1.71,42.0695,22.6007,-0.2107,-0.9931,-1.2017,-0.6015,0.5
1.0,3,0.2,0.3,0.25,-0.1,40.6374,22.757,32.8014,-10.0443,7.836,42.2609,23.6662,-1.8526,-1.3101,-3.1384,-1.5773,0.0
1.0,3,0.6,0.6,0.6,0.0,72.5858,61.9045,71.553,-9.6485,1.0328,32.1508,19.2106,-0.792,-0.9671,-1.7514,-0.8783,1.5
1.0,1,0.6,0.6,0.6,0.0,67.6611,61.8726,59.9632,1.9094,7.6978,43.997,27.7124,-0.5325,-2.4906,-3.0098,-1.5093,0.0
1.0,1,0.4,0.5,0.45,-0.1,35.8629,44.2432,49.3838,-5.1406,-13.5209,48.1809,26.0,-2.0571,-3.6623,-5.6441,-2.8471,0.0
1.0,2,0.2,0.4,0.3,-0.2,0.0,18.8789,41.617,-22.7381,-41.617,48.7608,36.4357,-3.4784,-3.2629,-6.6278,-3.3517,0.0
1.0,1,0.2,0.3,0.25,-0.1,41.139,21.4995,33.5038,-12.0043,7.6352,56.2704,29.4073,-4.834,-2.6872,-7.3912,-3.7389,0.0
1.0,1,0.6,0.4,0.5,0.2,67.2929,65.4126,40.7783,24.6343,26.5146,47.0613,26.5571,-5.3774,-1.9396,-7.2127,-3.6411,0.5
1.0,1,0.6,0.4,0.5,0.2,27.8384,53.444,38.0689,15.3751,-10.2305,48.1377,31.0567,-4.9254,-1.0659,-5.9388,-2.9869,0.0
1.0,2,0.2,0.4,0.3,-0.2,0.0,17.5058,38.7288,-21.223,-38.7288,50.2436,30.0257,-4.1276,-1.9771,-6.0231,-3.0387,0.0
1.0,2,0.2,0.4,0.3,-0.2,38.4485,22.3098,38.3664,-16.0566,0.0821,48.4278,28.1003,-3.5904,-2.5175,-6.0175,-3.0389,0.5
1.0,2,0.4,0.3,0.35,0.1,68.6216,41.4708,28.1472,13.3236,40.4744,44.921,27.1476,-3.5412,-2.163,-5.6276,-2.8393,1.5
1.0,2,0.4,0.5,0.45,-0.1,65.0964,30.0725,50.3927,-20.3202,14.7037,49.0878,22.677,0.1415,-1.2744,-1.1347,-0.5667,1.5
1.0,2,0.4,0.6,0.5,-0.2,69.0624,38.3433,60.7418,-22.3985,8.3206,45.9536,25.5133,-0.5717,-1.3777,-1.9415,-0.9734,0.5
1.0,2,0.6,0.5,0.55,0.1,74.9525,71.2116,52.5113,18.7003,22.4413,48.2864,31.9724,-0.9245,-0.5293,-1.4489,-0.7261,0.0
1.0,3,0.2,0.4,0.3,-0.2,32.3652,17.5256,44.509,-26.9834,-12.1438,48.0011,25.9923,-1.0692,-0.2912,-1.3573,-0.6797,0.5
1.0,2,0.4,0.4,0.4,0.0,65.9206,35.1296,32.955,2.1747,32.9656,51.701,27.5519,-0.7834,-1.2594,-2.0329,-1.0197,0.0
1.0,2,0.6,0.5,0.55,0.1,67.3379,59.3826,45.5718,13.8107,21.7661,47.8838,30.3005,-1.2877,-1.1203,-2.3936,-1.2016,0.5
